wave flux
4014.8964 58957.953
4014.9464 58263.93
4014.9964 55842.65
4015.0464 56863.74
4015.0964 59510.02
4015.1464 57766.535
4015.1964 56611.426
4015.2464 56599.03
4015.2964 58082.586
4015.3464 57884.754
4015.3964 56849.953
4015.4464 57816.023
4015.4964 57639.13
4015.5465 56482.094
4015.5965 58537.383
4015.6465 58574.688
4015.6965 58604.02
4015.7465 56150.65
4015.7965 56706.062
4015.8465 57283.707
4015.8965 57659.07
4015.9465 57162.13
4015.9965 56886.51
4016.0465 53618.844
4016.0965 55415.523
4016.1465 57154.98
4016.1965 57327.625
4016.2465 55981.113
4016.2965 55572.867
4016.3465 55958.914
4016.3965 57807.695
4016.4465 56341.176
4016.4965 57304.508
4016.5465 57593.664
4016.5965 58505.527
4016.6465 57728.594
4016.6965 57163.383
4016.7465 58717.11
4016.7965 57496.35
4016.8465 57251.25
4016.8965 57358.32
4016.9465 55993.05
4016.9965 55736.047
4017.0465 59332.863
4017.0965 55948.582
4017.1465 58494.387
4017.1966 56236.45
4017.2466 54257.25
4017.2966 56157.094
4017.3466 60037.53
4017.3966 58083.875
4017.4466 55315.965
4017.4966 55622.457
4017.5466 55666.543
4017.5966 57248.934
4017.6466 55361.395
4017.6966 57583.0
4017.7466 55822.31
4017.7966 56402.773
4017.8466 55892.723
4017.8966 54276.66
4017.9466 55973.883
4017.9966 56812.445
4018.0466 57485.867
4018.0966 58982.582
4018.1466 56683.03
4018.1966 57411.805
4018.2466 57696.094
4018.2966 56885.03
4018.3466 54390.36
4018.3966 59955.18
4018.4466 56951.92
4018.4966 57335.48
4018.5466 57720.215
4018.5966 57426.79
4018.6466 55289.29
4018.6966 56259.742
4018.7466 56032.527
4018.7966 57732.715
4018.8467 57742.094
4018.8967 55592.656
4018.9467 56629.555
4018.9967 55198.6
4019.0467 56827.45
4019.0967 57016.527
4019.1467 58067.17
4019.1967 55335.258
4019.2467 55882.613
4019.2967 56485.09
4019.3467 57338.473
4019.3967 57972.664
4019.4467 55554.72
4019.4967 56421.04
4019.5467 56842.855
4019.5967 56613.926
4019.6467 55931.613
4019.6967 56693.906
4019.7467 54520.49
4019.7967 55090.12
4019.8467 54267.13
4019.8967 57259.824
4019.9467 56277.582
4019.9967 55425.195
4020.0467 55568.465
4020.0967 54879.36
4020.1467 55965.23
4020.1967 56167.863
4020.2467 56463.938
4020.2967 57004.25
4020.3467 55839.336
4020.3967 55823.562
4020.4468 57150.4
4020.4968 57616.836
4020.5468 56364.406
4020.5968 54957.953
4020.6468 55825.734
4020.6968 55807.523
4020.7468 56474.98
4020.7968 55549.285
4020.8468 54217.91
4020.8968 55189.316
4020.9468 55707.223
4020.9968 56208.734
4021.0468 54955.113
4021.0968 53819.26
4021.1468 55431.094
4021.1968 55611.047
4021.2468 54863.176
4021.2968 56251.523
4021.3468 56737.62
4021.3968 57088.875
4021.4468 56171.15
4021.4968 55577.95
4021.5468 55477.277
4021.5968 54991.49
4021.6468 53883.105
4021.6968 55211.754
4021.7468 55746.848
4021.7968 55913.742
4021.8468 55400.555
4021.8968 55810.3
4021.9468 56222.17
4021.9968 54765.18
4022.0468 55120.77
4022.0969 56704.973
4022.1469 56739.773
4022.1969 52332.906
4022.2469 52946.797
4022.2969 52272.61
4022.3469 51908.574
4022.3969 53542.61
4022.4469 52850.816
4022.4969 54258.414
4022.5469 55255.656
4022.5969 55100.254
4022.6469 55490.473
4022.6969 55009.016
